id,duration,timeLoss,departLane
v17,50.00,11.75,E3_0
v16,54.00,15.03,E3_0
v19,46.00,7.62,E3_0
v39,52.00,13.22,E7_0
v38,55.00,16.41,E7_0
v18,49.00,10.77,E3_0
v20,45.00,6.42,E3_0
v41,48.00,9.19,E7_0
v40,51.00,12.18,E7_0
v42,46.00,7.83,E7_0
v21,43.00,4.86,E3_0
v43,44.00,4.98,E7_0
v44,43.00,4.57,E7_0
v22,43.00,4.06,E3_0
v2,77.00,42.46,E1_0
v1,80.00,45.20,E1_0
v4,73.00,38.46,E1_0
v23,82.00,47.41,E5_0
v3,76.00,41.11,E1_0
v24,80.00,44.88,E5_0
v6,69.00,34.38,E1_0
v25,78.00,43.31,E5_0
v5,72.00,36.91,E1_0
v26,76.00,41.01,E5_0
v8,65.00,30.18,E1_0
v27,74.00,39.19,E5_0
v7,68.00,32.89,E1_0
v28,72.00,37.04,E5_0
v30,67.00,32.66,E5_0
v10,61.00,26.25,E1_0
v29,70.00,35.08,E5_0
v9,64.00,28.79,E1_0
v11,59.00,24.53,E1_0
v32,63.00,28.57,E5_0
v12,57.00,21.97,E1_0
v31,66.00,30.95,E5_0
v14,52.00,17.73,E1_0
v34,59.00,24.29,E5_0
v33,62.00,26.99,E5_0
v13,56.00,20.90,E1_0
v15,51.00,16.61,E1_0
v36,54.00,19.06,E5_0
v35,57.00,21.88,E5_0
v37,53.00,17.84,E5_0
v61,49.00,9.96,E3_0
v82,52.00,13.77,E7_0
v60,52.00,13.19,E3_0
v83,50.00,11.37,E7_0
v62,47.00,8.85,E3_0
v63,45.00,6.22,E3_0
v85,46.00,7.59,E7_0
v84,49.00,10.15,E7_0
v64,43.00,4.85,E3_0
v86,45.00,5.93,E7_0
v87,43.00,4.56,E7_0
v65,43.00,4.56,E3_0
v88,43.00,4.54,E7_0
v66,43.00,4.30,E3_0
v46,75.00,40.62,E1_0
v45,78.00,43.23,E1_0
v48,71.00,36.63,E1_0
v68,77.00,42.10,E5_0
v67,80.00,45.45,E5_0
v47,74.00,39.08,E1_0
v70,74.00,39.33,E5_0
v69,77.00,42.48,E5_0
v49,70.00,35.39,E1_0
