time,cars
100,47
200,62
300,54
400,44
500,57
600,50
700,58
800,58
900,68
1000,72
1100,82
1200,69
1300,83
1400,94
1500,92
1600,91
1700,113
1800,107
1900,106
2000,107
2100,130
2200,118
2300,126
2400,114
2500,126
2600,122
2700,113
2800,123
2900,122
3000,118
3100,123
3200,123
3300,112
3400,130
3500,127
3600,123
