time,cars
100,36
200,42
300,28
400,38
500,32
600,35
700,34
800,42
900,24
1000,42
1100,40
1200,28
1300,44
1400,40
1500,29
1600,40
1700,44
1800,35
1900,34
2000,51
2100,28
2200,36
2300,34
2400,29
2500,38
2600,34
2700,33
2800,38
2900,43
3000,24
3100,44
3200,45
3300,24
3400,45
3500,40
3600,31
