id,duration,timeLoss,departLane
v9,53.00,14.44,E3_0
v10,51.00,12.17,E3_0
v22,52.00,12.93,E7_0
v21,55.00,16.57,E7_0
v12,47.00,8.02,E3_0
v11,50.00,11.40,E3_0
v24,48.00,8.94,E7_0
v23,51.00,12.26,E7_0
v2,77.00,42.66,E1_0
v1,80.00,45.71,E1_0
v4,73.00,38.54,E1_0
v14,79.00,44.58,E5_0
v13,82.00,46.72,E5_0
v3,76.00,41.46,E1_0
v6,69.00,34.34,E1_0
v16,75.00,40.32,E5_0
v15,78.00,42.81,E5_0
v5,72.00,37.43,E1_0
v8,65.00,30.41,E1_0
v18,72.00,37.18,E5_0
v17,74.00,38.77,E5_0
v7,68.00,33.29,E1_0
v19,70.00,35.71,E5_0
v20,68.00,33.23,E5_0
v34,50.00,10.92,E3_0
v33,52.00,13.23,E3_0
v46,51.00,12.73,E7_0
v45,53.00,14.18,E7_0
v36,46.00,6.94,E3_0
v35,49.00,10.10,E3_0
v48,46.00,7.68,E7_0
v47,49.00,9.92,E7_0
v26,75.00,40.54,E1_0
v25,78.00,43.32,E1_0
v38,76.00,41.58,E5_0
v28,71.00,36.35,E1_0
v27,74.00,39.40,E1_0
v37,81.00,46.36,E5_0
v30,67.00,32.34,E1_0
v40,73.00,37.89,E5_0
v29,70.00,35.35,E1_0
v39,77.00,42.15,E5_0
v42,68.00,33.68,E5_0
v32,63.00,28.14,E1_0
v31,66.00,31.12,E1_0
v41,73.00,37.88,E5_0
v44,64.00,29.41,E5_0
v43,68.00,33.60,E5_0
v58,45.00,6.14,E3_0
v70,47.00,8.15,E7_0
v57,50.00,10.96,E3_0
v59,44.00,5.42,E3_0
v69,51.00,12.84,E7_0
v71,45.00,6.78,E7_0
v72,44.00,5.63,E7_0
v60,44.00,4.96,E3_0
v50,73.00,38.03,E1_0
v49,76.00,41.47,E1_0
v52,69.00,34.23,E1_0
v62,75.00,40.29,E5_0
v61,78.00,43.10,E5_0
v51,72.00,37.23,E1_0
v54,65.00,30.31,E1_0
v64,71.00,36.45,E5_0
v63,74.00,39.06,E5_0
v65,69.00,34.67,E5_0
v53,69.00,33.88,E1_0
v56,61.00,26.07,E1_0
v66,67.00,32.58,E5_0
v55,64.00,29.54,E1_0
v67,65.00,30.63,E5_0
v68,63.00,28.53,E5_0
v81,46.00,7.34,E3_0
v82,43.00,4.49,E3_0
v94,44.00,5.31,E7_0
v93,49.00,10.13,E7_0
v83,43.00,4.65,E3_0
v95,44.00,5.76,E7_0
v96,43.00,4.63,E7_0
v84,43.00,4.37,E3_0
v73,74.00,39.54,E1_0
v74,72.00,36.88,E1_0
v86,73.00,38.42,E5_0
v85,76.00,41.40,E5_0
v75,70.00,35.58,E1_0
v76,68.00,33.00,E1_0
v88,69.00,34.31,E5_0
v87,72.00,37.13,E5_0
v77,66.00,31.43,E1_0
v78,64.00,29.11,E1_0
v90,65.00,30.12,E5_0
v89,68.00,33.17,E5_0
v79,62.00,27.33,E1_0
v80,60.00,24.99,E1_0
v92,61.00,26.21,E5_0
v91,64.00,28.95,E5_0
v105,43.00,4.81,E3_0
v117,45.00,6.16,E7_0
v106,43.00,4.63,E3_0
v118,44.00,5.09,E7_0
v119,44.00,5.44,E7_0
v107,44.00,5.38,E3_0
v120,43.00,4.57,E7_0
v108,44.00,5.26,E3_0
v98,69.00,34.64,E1_0
v97,73.00,37.91,E1_0
v110,71.00,36.29,E5_0
v109,74.00,39.35,E5_0
v99,68.00,33.55,E1_0
v100,66.00,31.16,E1_0
v112,67.00,32.02,E5_0
v111,70.00,35.25,E5_0
v101,64.00,29.70,E1_0
v102,62.00,27.23,E1_0
v114,63.00,27.95,E5_0
v113,66.00,31.30,E5_0
v103,60.00,25.61,E1_0
v104,58.00,23.01,E1_0
v116,59.00,23.79,E5_0
v115,62.00,27.00,E5_0
v141,43.00,4.38,E7_0
v129,44.00,5.25,E3_0
v130,43.00,4.65,E3_0
v142,43.00,4.14,E7_0
v131,43.00,4.61,E3_0
v143,44.00,5.53,E7_0
v132,43.00,4.86,E3_0
v144,44.00,5.19,E7_0
v122,67.00,32.27,E1_0
v121,70.00,35.66,E1_0
v124,63.00,28.04,E1_0
v134,69.00,34.62,E5_0
v133,72.00,37.19,E5_0
v123,67.00,32.02,E1_0
v126,58.00,23.02,E1_0
v136,66.00,31.39,E5_0
v135,69.00,34.36,E5_0
v125,63.00,27.79,E1_0
v128,54.00,19.38,E1_0
v138,61.00,26.38,E5_0
v137,64.00,29.27,E5_0
v127,57.00,22.54,E1_0
v140,57.00,22.20,E5_0
v139,60.00,25.11,E5_0
v165,43.00,4.85,E7_0
v153,44.00,5.01,E3_0
v154,43.00,4.59,E3_0
v166,44.00,4.99,E7_0
v155,43.00,4.46,E3_0
v167,44.00,5.21,E7_0
v156,43.00,4.37,E3_0
v168,44.00,5.06,E7_0
v146,65.00,30.65,E1_0
v145,69.00,34.08,E1_0
v148,61.00,26.56,E1_0
v158,67.00,31.89,E5_0
v157,70.00,35.00,E5_0
v147,65.00,30.22,E1_0
v159,65.00,30.68,E5_0
v150,57.00,22.34,E1_0
v160,63.00,28.14,E5_0
v149,61.00,26.14,E1_0
v152,53.00,18.15,E1_0
v162,59.00,24.36,E5_0
v161,62.00,26.81,E5_0
v151,57.00,22.00,E1_0
v163,57.00,22.62,E5_0
v164,55.00,20.16,E5_0
v189,43.00,4.30,E7_0
v177,44.00,5.42,E3_0
v178,43.00,4.42,E3_0
v190,43.00,4.17,E7_0
v179,43.00,4.24,E3_0
v191,44.00,5.08,E7_0
v180,44.00,5.43,E3_0
v192,44.00,5.38,E7_0
v170,63.00,28.57,E1_0
v169,66.00,31.29,E1_0
v172,59.00,24.36,E1_0
v182,65.00,30.48,E5_0
v181,69.00,33.74,E5_0
v171,63.00,27.84,E1_0
v183,64.00,29.58,E5_0
v174,55.00,20.15,E1_0
v184,61.00,26.32,E5_0
v173,58.00,23.62,E1_0
v185,60.00,25.45,E5_0
v176,51.00,16.10,E1_0
v186,57.00,22.50,E5_0
v175,54.00,19.34,E1_0
v187,56.00,21.36,E5_0
v188,53.00,18.26,E5_0
v201,44.00,5.11,E3_0
v213,44.00,5.08,E7_0
v202,44.00,5.47,E3_0
v214,44.00,5.25,E7_0
v203,44.00,5.05,E3_0
v215,44.00,5.66,E7_0
v194,62.00,27.12,E1_0
v193,65.00,30.00,E1_0
v206,63.00,28.15,E5_0
v205,66.00,31.30,E5_0
v195,60.00,25.72,E1_0
v196,58.00,23.10,E1_0
v208,59.00,24.00,E5_0
v207,62.00,27.37,E5_0
v197,56.00,21.60,E1_0
v198,54.00,18.95,E1_0
v200,50.00,15.62,E1_0
v210,55.00,19.87,E5_0
v209,58.00,23.51,E5_0
v199,52.00,17.39,E1_0
v212,51.00,15.84,E5_0
v211,54.00,19.59,E5_0
v204,86.00,47.71,E3_0
v216,88.00,49.48,E7_0
v237,43.00,4.43,E7_0
v225,43.00,4.79,E3_0
v226,43.00,4.52,E3_0
v238,44.00,5.61,E7_0
v217,62.00,27.33,E1_0
v218,60.00,24.96,E1_0
v220,55.00,20.71,E1_0
v230,61.00,26.25,E5_0
v229,64.00,29.15,E5_0
v219,58.00,23.13,E1_0
v222,51.00,16.46,E1_0
v232,57.00,22.42,E5_0
v231,60.00,25.63,E5_0
v221,54.00,19.64,E1_0
v224,47.00,12.53,E1_0
v234,53.00,18.23,E5_0
v233,56.00,21.51,E5_0
v223,50.00,15.50,E1_0
v236,49.00,13.99,E5_0
v235,52.00,17.37,E5_0
v228,84.00,45.71,E3_0
v227,87.00,48.57,E3_0
v240,86.00,47.11,E7_0
v239,89.00,50.25,E7_0
v261,43.00,4.60,E7_0
v249,44.00,4.91,E3_0
v262,43.00,4.66,E7_0
v250,44.00,5.20,E3_0
v242,57.00,22.37,E1_0
v241,60.00,25.41,E1_0
v244,53.00,18.07,E1_0
v254,59.00,24.29,E5_0
v253,62.00,26.88,E5_0
v243,56.00,21.37,E1_0
v246,49.00,14.21,E1_0
v256,55.00,20.52,E5_0
v255,58.00,23.22,E5_0
v245,52.00,17.21,E1_0
v248,45.00,9.96,E1_0
v258,51.00,16.50,E5_0
v257,54.00,19.04,E5_0
v247,48.00,13.17,E1_0
v259,49.00,14.73,E5_0
v260,47.00,12.47,E5_0
v252,82.00,43.80,E3_0
v251,86.00,47.06,E3_0
v264,84.00,45.06,E7_0
v263,87.00,48.25,E7_0
v273,43.00,4.67,E3_0
v285,44.00,4.92,E7_0
v266,55.00,20.55,E1_0
v265,58.00,23.43,E1_0
v268,51.00,16.35,E1_0
v278,57.00,22.32,E5_0
v277,60.00,25.34,E5_0
v267,54.00,19.60,E1_0
v270,47.00,12.25,E1_0
v280,53.00,18.31,E5_0
v279,56.00,21.28,E5_0
v269,50.00,15.46,E1_0
v272,43.00,8.26,E1_0
v282,49.00,14.35,E5_0
v281,52.00,17.20,E5_0
v271,46.00,11.46,E1_0
v284,45.00,10.09,E5_0
v283,48.00,13.15,E5_0
v275,83.00,44.43,E3_0
v286,87.00,48.75,E7_0
v274,87.00,48.14,E3_0
v287,85.00,46.41,E7_0
v276,83.00,44.42,E3_0
v288,84.00,45.09,E7_0
v309,44.00,5.45,E7_0
v290,53.00,18.23,E1_0
v289,57.00,21.98,E1_0
v292,49.00,14.32,E1_0
v302,55.00,20.19,E5_0
v301,58.00,23.62,E5_0
