id,duration,timeLoss,departLane
v15,50.00,11.95,E3_0
v14,54.00,14.93,E3_0
v17,46.00,7.56,E3_0
v34,52.00,13.24,E7_0
v33,55.00,16.08,E7_0
v16,49.00,10.68,E3_0
v36,48.00,8.95,E7_0
v35,51.00,12.12,E7_0
v18,45.00,6.53,E3_0
v19,43.00,4.57,E3_0
v37,46.00,7.85,E7_0
v38,44.00,5.22,E7_0
v1,80.00,45.68,E1_0
v2,78.00,43.14,E1_0
v21,79.00,44.16,E5_0
v20,82.00,47.25,E5_0
v4,74.00,39.13,E1_0
v3,77.00,41.91,E1_0
v23,75.00,40.19,E5_0
v22,78.00,43.05,E5_0
v6,70.00,34.85,E1_0
v5,73.00,37.84,E1_0
v8,66.00,31.53,E1_0
v25,71.00,35.95,E5_0
v24,74.00,38.83,E5_0
v27,66.00,31.67,E5_0
v7,69.00,33.81,E1_0
v10,61.00,26.36,E1_0
v26,70.00,35.20,E5_0
v9,64.00,29.58,E1_0
v29,62.00,27.64,E5_0
v12,57.00,22.68,E1_0
v28,66.00,31.07,E5_0
v11,60.00,25.49,E1_0
v31,57.00,22.58,E5_0
v30,61.00,25.87,E5_0
v13,56.00,21.17,E1_0
v32,56.00,21.32,E5_0
v53,48.00,9.79,E3_0
v52,51.00,12.59,E3_0
v55,44.00,5.72,E3_0
v72,50.00,10.98,E7_0
v71,53.00,14.71,E7_0
v54,47.00,8.40,E3_0
v74,45.00,6.94,E7_0
v73,49.00,10.57,E7_0
v75,44.00,5.66,E7_0
v56,44.00,5.06,E3_0
v76,43.00,4.67,E7_0
v57,44.00,4.93,E3_0
v40,75.00,40.47,E1_0
v39,78.00,43.41,E1_0
v42,71.00,36.66,E1_0
v59,77.00,41.92,E5_0
v58,80.00,45.40,E5_0
v41,74.00,39.29,E1_0
v61,72.00,37.80,E5_0
v44,67.00,32.66,E1_0
v60,76.00,41.20,E5_0
v43,70.00,35.09,E1_0
v63,68.00,33.50,E5_0
v46,63.00,28.46,E1_0
v62,72.00,36.97,E5_0
v45,66.00,31.01,E1_0
v65,64.00,29.69,E5_0
v47,61.00,26.70,E1_0
v48,59.00,24.32,E1_0
v64,68.00,33.33,E5_0
v67,60.00,25.68,E5_0
v49,57.00,22.56,E1_0
v50,55.00,20.14,E1_0
v66,64.00,29.11,E5_0
v69,56.00,21.53,E5_0
v51,53.00,18.37,E1_0
v68,60.00,25.00,E5_0
v70,55.00,20.34,E5_0
v91,44.00,5.48,E3_0
v90,49.00,10.56,E3_0
v92,43.00,4.68,E3_0
v110,47.00,7.93,E7_0
v109,51.00,12.02,E7_0
v111,46.00,7.50,E7_0
v112,44.00,5.07,E7_0
v93,44.00,5.66,E3_0
v113,43.00,4.81,E7_0
v94,43.00,4.75,E3_0
v114,44.00,5.04,E7_0
v95,44.00,5.07,E3_0
v77,76.00,41.22,E1_0
v78,74.00,38.94,E1_0
v97,75.00,40.23,E5_0
v96,78.00,43.07,E5_0
v79,72.00,37.20,E1_0
v80,70.00,35.01,E1_0
v99,71.00,36.26,E5_0
v98,74.00,39.05,E5_0
v81,68.00,33.15,E1_0
v82,66.00,30.90,E1_0
v101,67.00,32.41,E5_0
v100,70.00,35.03,E5_0
v83,64.00,29.08,E1_0
v84,62.00,26.95,E1_0
v103,63.00,28.20,E5_0
v102,66.00,31.30,E5_0
v85,60.00,24.85,E1_0
v86,58.00,22.77,E1_0
v87,55.00,20.60,E1_0
v88,53.00,18.39,E1_0
v105,59.00,23.98,E5_0
v104,62.00,27.30,E5_0
v89,51.00,16.54,E1_0
v107,55.00,20.02,E5_0
v106,58.00,23.10,E5_0
v108,53.00,18.71,E5_0
v129,43.00,4.85,E3_0
v128,46.00,7.15,E3_0
v148,44.00,5.11,E7_0
v147,49.00,10.24,E7_0
v149,44.00,4.97,E7_0
v130,44.00,4.96,E3_0
v150,43.00,4.22,E7_0
v131,43.00,4.72,E3_0
v151,43.00,4.59,E7_0
v132,43.00,4.22,E3_0
v133,43.00,4.78,E3_0
v152,44.00,4.96,E7_0
v116,72.00,37.59,E1_0
v115,75.00,40.01,E1_0
v135,73.00,38.35,E5_0
v117,70.00,35.68,E1_0
v134,77.00,41.84,E5_0
v118,68.00,32.89,E1_0
v120,63.00,28.67,E1_0
v137,69.00,34.22,E5_0
v119,66.00,31.53,E1_0
v136,73.00,38.07,E5_0
v122,59.00,24.53,E1_0
v139,65.00,29.84,E5_0
v121,62.00,27.31,E1_0
v138,69.00,33.80,E5_0
v124,55.00,20.52,E1_0
v141,61.00,25.93,E5_0
v123,58.00,23.25,E1_0
v140,65.00,29.97,E5_0
v126,50.00,15.38,E1_0
v143,57.00,22.32,E5_0
v125,54.00,19.10,E1_0
v142,61.00,25.80,E5_0
v144,56.00,21.57,E5_0
v145,53.00,18.03,E5_0
v127,49.00,13.84,E1_0
v146,52.00,17.00,E5_0
v166,43.00,4.83,E3_0
v185,45.00,6.47,E7_0
v186,43.00,4.80,E7_0
v167,44.00,5.68,E3_0
v187,43.00,4.26,E7_0
v168,43.00,4.58,E3_0
v188,44.00,5.79,E7_0
v169,43.00,4.44,E3_0
v170,43.00,4.56,E3_0
v189,44.00,4.91,E7_0
v190,43.00,4.41,E7_0
v154,69.00,34.59,E1_0
v153,72.00,37.23,E1_0
v156,65.00,30.60,E1_0
v172,74.00,39.69,E5_0
v173,72.00,36.92,E5_0
v155,69.00,34.04,E1_0
v175,67.00,32.58,E5_0
v158,61.00,26.60,E1_0
v174,70.00,35.60,E5_0
v157,65.00,29.91,E1_0
v177,63.00,28.43,E5_0
v160,57.00,22.36,E1_0
v176,66.00,31.48,E5_0
v159,61.00,26.20,E1_0
v179,59.00,24.60,E5_0
v162,53.00,18.48,E1_0
v178,62.00,27.37,E5_0
v161,57.00,22.12,E1_0
v181,55.00,20.46,E5_0
v164,49.00,14.29,E1_0
v180,58.00,23.23,E5_0
v163,53.00,18.17,E1_0
v183,51.00,16.07,E5_0
v165,48.00,13.10,E1_0
v182,54.00,19.14,E5_0
v184,50.00,14.94,E5_0
v223,43.00,4.92,E7_0
v171,89.00,49.94,E3_0
v204,44.00,4.94,E3_0
v205,43.00,4.54,E3_0
v224,44.00,5.18,E7_0
v225,43.00,4.45,E7_0
v206,44.00,5.02,E3_0
v207,43.00,4.33,E3_0
v226,43.00,4.77,E7_0
v208,43.00,4.66,E3_0
v227,43.00,4.61,E7_0
v192,67.00,32.49,E1_0
v191,70.00,35.46,E1_0
v210,72.00,37.58,E5_0
v194,63.00,28.19,E1_0
v211,69.00,34.21,E5_0
v193,67.00,32.02,E1_0
v212,68.00,33.46,E5_0
v196,59.00,24.32,E1_0
v213,65.00,30.62,E5_0
v195,63.00,27.78,E1_0
v214,64.00,29.44,E5_0
v198,55.00,20.07,E1_0
v215,61.00,26.44,E5_0
v197,58.00,23.64,E1_0
v216,60.00,25.17,E5_0
v200,51.00,16.10,E1_0
v217,57.00,22.26,E5_0
v199,54.00,19.30,E1_0
v218,56.00,21.02,E5_0
v202,47.00,11.84,E1_0
v219,53.00,18.21,E5_0
v201,50.00,15.04,E1_0
v220,52.00,16.95,E5_0
v221,49.00,14.37,E5_0
v203,46.00,10.83,E1_0
v222,47.00,12.65,E5_0
v209,86.00,47.77,E3_0
v261,44.00,5.42,E7_0
v228,89.00,49.95,E7_0
v242,44.00,4.96,E3_0
v262,43.00,4.75,E7_0
v243,43.00,4.57,E3_0
v263,43.00,4.41,E7_0
v244,44.00,5.31,E3_0
v264,44.00,5.08,E7_0
v245,44.00,5.18,E3_0
v265,43.00,4.70,E7_0
v230,65.00,30.56,E1_0
v229,68.00,33.52,E1_0
v249,67.00,32.22,E5_0
v231,64.00,29.54,E1_0
v248,71.00,35.92,E5_0
v232,62.00,26.80,E1_0
v250,66.00,31.58,E5_0
v251,63.00,28.21,E5_0
v233,60.00,25.44,E1_0
v234,58.00,22.88,E1_0
v252,62.00,27.45,E5_0
v253,59.00,24.09,E5_0
v235,55.00,20.58,E1_0
v236,53.00,17.91,E1_0
v254,58.00,23.24,E5_0
v255,55.00,20.03,E5_0
v237,51.00,16.27,E1_0
v238,49.00,13.80,E1_0
v256,54.00,18.98,E5_0
v240,44.00,9.59,E1_0
v257,51.00,16.28,E5_0
v239,47.00,12.11,E1_0
v258,50.00,14.82,E5_0
v259,47.00,12.09,E5_0
v241,43.00,8.03,E1_0
v260,45.00,10.52,E5_0
v247,85.00,46.67,E3_0
v246,88.00,49.06,E3_0
v266,86.00,47.52,E7_0
v299,43.00,4.77,E7_0
v280,43.00,4.75,E3_0
v300,43.00,4.57,E7_0
v281,44.00,5.05,E3_0
v301,43.00,4.67,E7_0
v282,43.00,4.37,E3_0
v302,43.00,4.26,E7_0
v268,63.00,28.39,E1_0
v267,66.00,31.54,E1_0
v287,65.00,30.69,E5_0
v270,59.00,24.38,E1_0
v286,68.00,33.53,E5_0
v269,63.00,27.79,E1_0
v289,61.00,26.62,E5_0
v272,55.00,20.25,E1_0
v288,64.00,29.43,E5_0
v271,58.00,23.64,E1_0
v291,57.00,22.43,E5_0
v274,51.00,16.24,E1_0
v290,60.00,25.17,E5_0
v273,54.00,19.44,E1_0
v293,53.00,18.17,E5_0
v276,47.00,11.94,E1_0
v292,56.00,21.13,E5_0
v275,50.00,15.24,E1_0
v295,49.00,14.07,E5_0
v278,43.00,7.85,E1_0
v294,52.00,17.27,E5_0
v277,46.00,11.05,E1_0
v279,41.00,6.59,E1_0
v297,45.00,9.79,E5_0
v296,48.00,13.11,E5_0
v298,44.00,8.94,E5_0
v283,88.00,49.94,E3_0
v284,86.00,47.13,E3_0
v304,84.00,45.36,E7_0
v303,87.00,48.12,E7_0
v285,84.00,45.52,E3_0
v318,43.00,4.76,E3_0
v337,44.00,5.20,E7_0
v338,44.00,5.53,E7_0
v319,44.00,5.01,E3_0
v320,43.00,4.71,E3_0
v339,44.00,5.28,E7_0
v340,43.00,4.83,E7_0
v306,62.00,27.46,E1_0
v305,65.00,30.01,E1_0
v324,66.00,31.01,E5_0
v308,58.00,23.13,E1_0
v325,64.00,29.08,E5_0
v307,61.00,26.07,E1_0
v326,62.00,27.23,E5_0
v310,54.00,19.47,E1_0
v327,60.00,24.97,E5_0
v309,57.00,21.79,E1_0
v328,58.00,23.15,E5_0
v311,52.00,17.48,E1_0
v312,50.00,15.24,E1_0
v329,56.00,20.89,E5_0
v331,51.00,16.69,E5_0
v330,54.00,19.04,E5_0
v313,48.00,13.46,E1_0
v314,46.00,10.98,E1_0
v316,41.00,6.74,E1_0
v333,47.00,12.51,E5_0
v332,50.00,15.09,E5_0
v315,44.00,9.71,E1_0
v335,43.00,8.21,E5_0
v334,46.00,10.89,E5_0
v317,39.00,4.71,E1_0
v336,41.00,6.60,E5_0
