time,cars
100,24
200,29
300,20
400,24
500,27
600,20
700,24
800,25
900,24
1000,24
1100,32
1200,12
1300,24
1400,26
1500,16
1600,24
1700,26
1800,18
1900,20
2000,39
2100,20
2200,24
2300,24
2400,20
2500,24
2600,26
2700,20
2800,24
2900,32
3000,12
3100,25
3200,27
3300,18
3400,22
3500,34
3600,23
