time,cars
100,63
200,90
300,96
400,118
500,141
600,124
700,113
800,137
900,119
1000,127
1100,124
1200,122
1300,124
1400,134
1500,115
1600,115
1700,137
1800,119
1900,125
2000,123
2100,129
2200,146
2300,136
2400,130
2500,140
2600,136
2700,136
2800,142
2900,139
3000,141
3100,142
3200,144
3300,144
3400,142
3500,138
3600,132
