id,duration,timeLoss,departLane
v1,39.00,4.71,E1_0
v29,41.00,6.70,E5_0
v30,39.00,4.52,E5_0
v2,39.00,4.12,E1_0
v31,39.00,4.68,E5_0
v3,39.00,4.58,E1_0
v32,39.00,4.53,E5_0
v4,39.00,4.69,E1_0
v33,39.00,3.96,E5_0
v5,39.00,4.31,E1_0
v34,39.00,4.38,E5_0
v6,40.00,5.16,E1_0
v7,40.00,5.45,E1_0
v36,40.00,4.95,E5_0
v8,40.00,4.80,E1_0
v35,44.00,9.02,E5_0
v37,40.00,4.91,E5_0
v9,40.00,5.05,E1_0
v38,40.00,5.48,E5_0
v10,40.00,5.56,E1_0
v39,40.00,4.86,E5_0
v11,40.00,5.00,E1_0
v40,40.00,5.08,E5_0
v12,40.00,5.34,E1_0
v13,41.00,5.94,E1_0
v14,39.00,4.71,E1_0
v42,40.00,5.04,E5_0
v41,45.00,9.92,E5_0
v43,40.00,5.26,E5_0
v15,40.00,4.91,E1_0
v44,40.00,4.99,E5_0
v16,39.00,4.55,E1_0
v45,39.00,4.70,E5_0
v17,39.00,4.23,E1_0
v46,40.00,5.04,E5_0
v18,39.00,4.54,E1_0
v26,97.00,58.82,E3_0
v25,101.00,61.94,E3_0
v54,99.00,60.27,E7_0
v53,102.00,63.18,E7_0
v28,94.00,54.99,E3_0
v27,97.00,58.18,E3_0
v81,44.00,5.73,E3_0
v56,95.00,56.29,E7_0
v55,98.00,59.45,E7_0
v109,46.00,7.18,E7_0
v110,44.00,5.01,E7_0
v82,44.00,4.91,E3_0
v111,43.00,4.56,E7_0
v83,43.00,4.45,E3_0
v112,43.00,4.74,E7_0
v84,43.00,4.30,E3_0
v19,63.00,28.55,E1_0
v20,61.00,25.94,E1_0
v48,62.00,27.67,E5_0
v47,65.00,29.87,E5_0
v22,57.00,21.95,E1_0
v49,60.00,25.62,E5_0
v21,60.00,25.34,E1_0
v50,59.00,23.81,E5_0
v24,53.00,17.98,E1_0
v23,56.00,21.05,E1_0
v52,54.00,19.52,E5_0
v51,57.00,22.01,E5_0
v58,49.00,13.84,E1_0
v57,52.00,16.89,E1_0
v86,50.00,15.30,E5_0
v60,44.00,9.57,E1_0
v85,53.00,17.84,E5_0
v59,47.00,12.63,E1_0
v87,48.00,13.70,E5_0
v88,46.00,11.40,E5_0
v62,40.00,5.34,E1_0
v61,43.00,8.50,E1_0
v89,44.00,9.51,E5_0
v90,42.00,7.38,E5_0
v91,40.00,5.28,E5_0
v63,40.00,4.99,E1_0
v65,59.00,24.73,E1_0
v64,62.00,27.52,E1_0
v93,61.00,26.58,E5_0
v92,64.00,29.18,E5_0
v66,58.00,23.49,E1_0
v67,56.00,21.50,E1_0
v95,57.00,22.48,E5_0
v94,60.00,25.29,E5_0
v69,52.00,17.31,E1_0
v68,55.00,19.87,E1_0
v97,53.00,18.33,E5_0
v96,56.00,21.31,E5_0
v70,50.00,15.71,E1_0
v71,48.00,13.29,E1_0
v99,49.00,14.22,E5_0
v98,52.00,16.94,E5_0
v72,46.00,11.44,E1_0
v73,44.00,9.47,E1_0
v101,45.00,10.05,E5_0
v100,48.00,12.97,E5_0
v74,42.00,7.25,E1_0
v75,40.00,5.16,E1_0
v103,41.00,5.94,E5_0
v102,44.00,8.80,E5_0
v104,39.00,4.63,E5_0
v76,39.00,4.70,E1_0
v137,57.00,18.74,E3_0
v138,55.00,16.34,E3_0
v166,56.00,17.06,E7_0
v165,59.00,20.58,E7_0
v139,53.00,14.62,E3_0
v140,52.00,13.04,E3_0
v168,51.00,12.80,E7_0
v167,55.00,16.27,E7_0
v78,58.00,23.61,E1_0
v77,61.00,26.42,E1_0
v80,54.00,19.41,E1_0
v105,63.00,28.23,E5_0
v79,57.00,22.43,E1_0
v106,61.00,25.88,E5_0
v113,53.00,18.41,E1_0
v108,57.00,21.75,E5_0
v114,51.00,15.91,E1_0
v107,60.00,25.03,E5_0
v115,49.00,14.24,E1_0
v142,53.00,18.04,E5_0
v116,47.00,11.78,E1_0
v141,56.00,20.92,E5_0
v118,42.00,7.64,E1_0
v143,51.00,16.74,E5_0
v117,45.00,10.07,E1_0
v144,49.00,13.87,E5_0
v146,44.00,9.50,E5_0
v119,41.00,5.97,E1_0
v145,48.00,12.85,E5_0
v120,39.00,4.64,E1_0
v147,43.00,8.47,E5_0
v148,40.00,5.66,E5_0
v149,39.00,4.34,E5_0
v122,51.00,16.55,E1_0
v121,55.00,20.05,E1_0
v124,47.00,12.26,E1_0
v150,53.00,18.53,E5_0
v151,50.00,14.91,E5_0
v123,51.00,15.94,E1_0
v153,45.00,10.71,E5_0
v126,43.00,8.24,E1_0
v152,49.00,14.57,E5_0
v125,47.00,12.08,E1_0
v155,41.00,6.55,E5_0
v127,42.00,7.02,E1_0
v154,45.00,10.36,E5_0
v128,40.00,5.15,E1_0
v156,40.00,5.32,E5_0
v129,39.00,4.32,E1_0
v157,39.00,4.63,E5_0
v130,39.00,4.45,E1_0
v158,39.00,4.10,E5_0
v131,53.00,18.72,E1_0
v132,51.00,15.80,E1_0
v134,46.00,11.74,E1_0
v160,52.00,17.60,E5_0
v133,49.00,14.69,E1_0
v159,56.00,20.77,E5_0
v161,51.00,16.63,E5_0
v136,42.00,7.47,E1_0
v162,48.00,13.46,E5_0
v135,45.00,10.51,E1_0
v163,47.00,12.64,E5_0
v164,44.00,9.21,E5_0
v169,41.00,6.38,E1_0
v197,43.00,8.34,E5_0
v170,40.00,5.10,E1_0
v198,40.00,5.14,E5_0
v199,40.00,5.17,E5_0
v171,40.00,5.16,E1_0
v200,40.00,5.26,E5_0
v194,90.00,51.83,E3_0
v193,94.00,55.31,E3_0
v221,95.00,56.75,E7_0
v222,92.00,53.33,E7_0
v195,90.00,51.41,E3_0
v196,87.00,48.17,E3_0
v224,88.00,49.48,E7_0
v223,92.00,52.91,E7_0
v249,43.00,4.40,E3_0
v277,44.00,4.94,E7_0
v278,43.00,4.36,E7_0
v250,44.00,5.36,E3_0
v173,71.00,36.70,E1_0
v172,75.00,40.25,E1_0
v201,73.00,38.07,E5_0
v174,70.00,35.49,E1_0
v202,71.00,35.88,E5_0
v175,68.00,32.78,E1_0
v204,66.00,31.65,E5_0
v203,69.00,34.34,E5_0
v177,64.00,28.77,E1_0
v176,67.00,31.92,E1_0
v206,62.00,27.45,E5_0
v179,59.00,24.63,E1_0
v205,65.00,30.46,E5_0
v178,62.00,27.66,E1_0
v208,58.00,23.21,E5_0
v181,55.00,20.63,E1_0
v207,61.00,26.67,E5_0
v180,58.00,23.48,E1_0
v210,54.00,18.97,E5_0
v183,51.00,16.36,E1_0
v209,57.00,22.32,E5_0
v182,54.00,19.33,E1_0
v212,49.00,14.72,E5_0
v185,47.00,12.08,E1_0
v211,53.00,18.19,E5_0
v184,50.00,15.19,E1_0
v214,45.00,10.56,E5_0
v213,50.00,14.86,E5_0
v187,47.00,12.30,E1_0
v186,50.00,15.39,E1_0
v215,48.00,13.18,E5_0
v216,46.00,11.46,E5_0
v189,43.00,8.33,E1_0
v188,46.00,11.43,E1_0
v218,41.00,6.11,E5_0
v217,45.00,10.15,E5_0
v190,42.00,7.28,E1_0
v191,40.00,5.09,E1_0
v219,40.00,5.03,E5_0
v220,39.00,4.68,E5_0
v192,39.00,4.52,E1_0
v253,40.00,4.93,E5_0
v225,40.00,5.31,E1_0
v254,39.00,4.32,E5_0
v226,39.00,4.47,E1_0
v251,104.00,65.57,E3_0
v252,102.00,63.04,E3_0
v279,106.00,67.00,E7_0
v280,104.00,64.98,E7_0
v306,50.00,11.00,E3_0
v305,53.00,14.05,E3_0
v308,45.00,6.70,E3_0
v333,54.00,15.14,E7_0
v334,52.00,12.94,E7_0
v307,49.00,9.98,E3_0
v336,47.00,8.74,E7_0
v335,50.00,11.30,E7_0
v228,69.00,33.82,E1_0
v227,72.00,36.78,E1_0
v230,64.00,29.64,E1_0
v256,70.00,35.05,E5_0
v255,73.00,38.30,E5_0
v229,67.00,32.44,E1_0
v232,60.00,25.48,E1_0
v258,66.00,31.56,E5_0
v257,69.00,34.17,E5_0
v231,64.00,29.00,E1_0
v260,62.00,27.38,E5_0
v259,65.00,30.07,E5_0
v234,57.00,22.07,E1_0
v233,60.00,24.80,E1_0
v262,58.00,23.22,E5_0
v261,61.00,26.02,E5_0
v235,55.00,20.57,E1_0
v236,53.00,17.89,E1_0
v238,48.00,13.59,E1_0
v264,54.00,19.25,E5_0
v263,57.00,21.76,E5_0
v237,51.00,16.40,E1_0
v265,52.00,17.67,E5_0
v240,44.00,9.63,E1_0
v266,50.00,15.19,E5_0
v239,48.00,13.07,E1_0
v267,48.00,13.43,E5_0
v268,46.00,11.01,E5_0
v269,45.00,9.80,E5_0
v242,55.00,20.79,E1_0
v241,58.00,23.63,E1_0
v244,51.00,16.70,E1_0
v243,54.00,19.36,E1_0
v270,57.00,22.30,E5_0
v271,55.00,19.90,E5_0
v246,47.00,12.51,E1_0
v245,50.00,15.20,E1_0
v273,50.00,15.12,E5_0
v272,54.00,18.91,E5_0
v248,43.00,8.53,E1_0
v247,46.00,10.95,E1_0
v275,46.00,11.01,E5_0
v274,49.00,14.63,E5_0
v281,41.00,6.62,E1_0
v309,41.00,6.85,E5_0
v282,39.00,4.41,E1_0
v276,45.00,10.51,E5_0
v310,40.00,5.62,E5_0
v283,40.00,5.53,E1_0
v311,40.00,5.15,E5_0
v312,39.00,4.45,E5_0
v361,68.00,29.71,E3_0
v362,65.00,26.06,E3_0
v390,66.00,27.70,E7_0
v389,69.00,29.95,E7_0
v363,64.00,25.45,E3_0
v364,61.00,22.03,E3_0
v392,62.00,23.56,E7_0
v391,65.00,26.00,E7_0
v285,70.00,35.05,E1_0
v284,74.00,39.11,E1_0
v314,69.00,33.88,E5_0
v287,66.00,31.54,E1_0
v313,72.00,36.93,E5_0
v315,67.00,32.56,E5_0
v286,70.00,34.86,E1_0
v316,65.00,30.20,E5_0
v289,62.00,27.72,E1_0
v288,65.00,30.61,E1_0
v318,61.00,26.67,E5_0
v291,58.00,23.60,E1_0
v317,64.00,28.86,E5_0
v290,61.00,26.62,E1_0
v320,57.00,22.50,E5_0
v293,54.00,19.45,E1_0
v319,60.00,24.87,E5_0
v292,57.00,22.29,E1_0
v321,55.00,20.65,E5_0
v322,53.00,18.40,E5_0
v295,50.00,15.48,E1_0
v294,53.00,18.18,E1_0
v323,51.00,16.46,E5_0
v324,49.00,14.16,E5_0
v297,46.00,11.38,E1_0
v296,49.00,13.84,E1_0
v325,47.00,12.22,E5_0
v298,44.00,9.68,E1_0
v326,45.00,10.02,E5_0
v299,43.00,7.94,E1_0
v327,43.00,7.97,E5_0
v328,41.00,6.31,E5_0
v301,51.00,16.38,E1_0
v300,54.00,19.63,E1_0
v303,47.00,12.39,E1_0
v329,53.00,18.51,E5_0
