id,duration,timeLoss,departLane
v13,52.00,12.91,E3_0
v12,54.00,15.06,E3_0
v15,46.00,7.78,E3_0
v29,52.00,13.01,E7_0
v28,55.00,16.34,E7_0
v14,49.00,10.90,E3_0
v31,47.00,8.77,E7_0
v30,51.00,12.68,E7_0
v16,45.00,6.80,E3_0
v32,46.00,7.66,E7_0
v1,80.00,45.59,E1_0
v2,78.00,43.26,E1_0
v18,79.00,44.26,E5_0
v17,82.00,46.98,E5_0
v4,74.00,38.94,E1_0
v3,77.00,41.87,E1_0
v20,75.00,40.55,E5_0
v19,78.00,43.25,E5_0
v6,71.00,35.84,E1_0
v5,74.00,38.85,E1_0
v8,65.00,30.54,E1_0
v22,71.00,36.47,E5_0
v21,74.00,39.24,E5_0
v7,69.00,34.51,E1_0
v10,61.00,26.28,E1_0
v24,67.00,32.27,E5_0
v23,70.00,35.17,E5_0
v9,64.00,29.29,E1_0
v26,63.00,27.98,E5_0
v25,66.00,31.08,E5_0
v11,60.00,25.02,E1_0
v27,62.00,27.01,E5_0
v45,48.00,9.70,E3_0
v44,51.00,12.65,E3_0
v61,50.00,11.49,E7_0
v60,53.00,14.08,E7_0
v46,47.00,8.52,E3_0
v47,45.00,6.06,E3_0
v63,46.00,7.59,E7_0
v62,49.00,10.12,E7_0
v64,44.00,5.76,E7_0
v48,44.00,5.09,E3_0
v34,75.00,40.34,E1_0
v33,79.00,44.15,E1_0
v36,71.00,36.32,E1_0
v50,77.00,42.59,E5_0
v49,80.00,45.02,E5_0
v35,75.00,40.12,E1_0
v38,67.00,32.18,E1_0
v52,73.00,38.46,E5_0
v51,76.00,40.89,E5_0
v37,71.00,36.08,E1_0
v40,63.00,28.15,E1_0
v54,69.00,34.14,E5_0
v53,72.00,36.88,E5_0
v39,67.00,31.84,E1_0
v42,59.00,24.42,E1_0
v56,65.00,30.16,E5_0
v55,68.00,32.95,E5_0
v41,62.00,27.58,E1_0
v57,63.00,28.67,E5_0
v43,58.00,23.40,E1_0
v58,61.00,25.91,E5_0
v59,60.00,24.95,E5_0
v77,44.00,5.83,E3_0
v78,43.00,4.71,E3_0
v93,47.00,8.50,E7_0
v76,50.00,10.96,E3_0
v92,52.00,13.24,E7_0
v79,43.00,4.43,E3_0
v94,46.00,7.44,E7_0
v95,45.00,6.10,E7_0
v80,43.00,4.73,E3_0
v96,43.00,4.49,E7_0
v66,73.00,38.21,E1_0
v65,77.00,41.79,E1_0
v68,69.00,34.65,E1_0
v82,75.00,40.54,E5_0
v81,78.00,43.66,E5_0
v67,73.00,38.06,E1_0
v70,65.00,30.47,E1_0
v84,72.00,37.37,E5_0
v83,75.00,40.46,E5_0
v69,69.00,33.77,E1_0
v72,61.00,26.32,E1_0
v86,67.00,32.35,E5_0
