id,duration,timeLoss,depart,arrival,departLane
v122,80.00,45.19,123.00,203.00,E5_0
v100,74.00,39.59,129.00,203.00,E1_0
v101,72.00,36.91,132.00,204.00,E1_0
v125,73.00,38.61,132.00,205.00,E5_0
v124,76.00,41.15,129.00,205.00,E5_0
v102,70.00,35.49,135.00,205.00,E1_0
v103,68.00,32.84,138.00,206.00,E1_0
v105,63.00,28.55,144.00,207.00,E1_0
v127,69.00,34.34,138.00,207.00,E5_0
v126,72.00,36.99,135.00,207.00,E5_0
v104,66.00,31.32,141.00,207.00,E1_0
v128,67.00,32.66,141.00,208.00,E5_0
v129,65.00,30.43,144.00,209.00,E5_0
v106,62.00,27.07,147.00,209.00,E1_0
v130,63.00,28.66,147.00,210.00,E5_0
v161,46.00,7.86,180.00,226.00,E3_0
v120,87.00,48.53,141.00,228.00,E3_0
v162,45.00,6.45,183.00,228.00,E3_0
v185,49.00,10.36,180.00,229.00,E7_0
v144,88.00,49.68,141.00,229.00,E7_0
v163,44.00,5.45,186.00,230.00,E3_0
v187,45.00,6.31,186.00,231.00,E7_0
v186,48.00,9.76,183.00,231.00,E7_0
v164,43.00,4.83,189.00,232.00,E3_0
v188,44.00,5.13,189.00,233.00,E7_0
v189,43.00,4.48,192.00,235.00,E7_0
v165,44.00,5.24,192.00,236.00,E3_0
v190,44.00,5.42,195.00,239.00,E7_0
v166,44.00,5.27,195.00,239.00,E3_0
v191,44.00,5.33,198.00,242.00,E7_0
v107,104.00,69.39,150.00,254.00,E1_0
v108,102.00,66.79,153.00,255.00,E1_0
v109,100.00,65.68,156.00,256.00,E1_0
v132,103.00,68.22,153.00,256.00,E5_0
v131,107.00,72.00,150.00,257.00,E5_0
v110,98.00,62.95,159.00,257.00,E1_0
v111,96.00,61.47,162.00,258.00,E1_0
v134,99.00,64.52,159.00,258.00,E5_0
v112,93.00,58.58,165.00,258.00,E1_0
v133,103.00,67.75,156.00,259.00,E5_0
v135,98.00,63.56,162.00,260.00,E5_0
v146,77.00,42.26,183.00,260.00,E1_0
v136,95.00,60.35,165.00,260.00,E5_0
v145,81.00,45.80,180.00,261.00,E1_0
v170,79.00,44.30,183.00,262.00,E5_0
v148,73.00,37.99,189.00,262.00,E1_0
v169,82.00,47.39,180.00,262.00,E5_0
v147,76.00,41.52,186.00,262.00,E1_0
v172,75.00,40.25,189.00,264.00,E5_0
v150,69.00,33.79,195.00,264.00,E1_0
v171,78.00,43.40,186.00,264.00,E5_0
v149,72.00,37.37,192.00,264.00,E1_0
v152,64.00,29.50,201.00,265.00,E1_0
v174,71.00,36.03,195.00,266.00,E5_0
v173,74.00,39.29,192.00,266.00,E5_0
v151,69.00,34.18,197.00,266.00,E1_0
v154,60.00,25.28,207.00,267.00,E1_0
v176,67.00,31.85,201.00,268.00,E5_0
v175,70.00,35.31,198.00,268.00,E5_0
v153,64.00,28.88,204.00,268.00,E1_0
v178,62.00,27.59,207.00,269.00,E5_0
v177,67.00,31.94,204.00,271.00,E5_0
v233,45.00,6.01,240.00,285.00,E7_0
v167,87.00,48.65,198.00,285.00,E3_0
v168,85.00,46.02,201.00,286.00,E3_0
v192,86.00,47.51,201.00,287.00,E7_0
v209,47.00,8.85,240.00,287.00,E3_0
v234,44.00,5.62,243.00,287.00,E7_0
v210,45.00,5.94,243.00,288.00,E3_0
v235,43.00,4.47,246.00,289.00,E7_0
v211,44.00,5.08,246.00,290.00,E3_0
v236,43.00,4.81,249.00,292.00,E7_0
v212,44.00,4.97,249.00,293.00,E3_0
v237,43.00,4.61,252.00,295.00,E7_0
v213,44.00,5.38,252.00,296.00,E3_0
v238,44.00,5.25,255.00,299.00,E7_0
v156,99.00,64.41,213.00,312.00,E1_0
v155,103.00,67.82,210.00,313.00,E1_0
v180,101.00,66.35,213.00,314.00,E5_0
v179,104.00,69.35,210.00,314.00,E5_0
v158,96.00,60.87,219.00,315.00,E1_0
v157,99.00,63.83,216.00,315.00,E1_0
v160,91.00,56.54,225.00,316.00,E1_0
v182,97.00,62.51,219.00,316.00,E5_0
v181,100.00,65.36,216.00,316.00,E5_0
v159,94.00,59.59,222.00,316.00,E1_0
v194,75.00,40.57,243.00,318.00,E1_0
v184,93.00,58.50,225.00,318.00,E5_0
v183,96.00,61.29,222.00,318.00,E5_0
v193,78.00,43.34,240.00,318.00,E1_0
v196,71.00,36.62,249.00,320.00,E1_0
v218,77.00,42.21,243.00,320.00,E5_0
v217,80.00,45.18,240.00,320.00,E5_0
v195,74.00,39.36,246.00,320.00,E1_0
v198,67.00,32.53,255.00,322.00,E1_0
v220,73.00,38.03,249.00,322.00,E5_0
v219,76.00,40.92,246.00,322.00,E5_0
v197,70.00,35.20,252.00,322.00,E1_0
v200,63.00,28.33,261.00,324.00,E1_0
v222,69.00,33.90,255.00,324.00,E5_0
v221,72.00,36.93,252.00,324.00,E5_0
v199,66.00,30.95,258.00,324.00,E1_0
v223,67.00,32.66,258.00,325.00,E5_0
v224,65.00,29.75,261.00,326.00,E5_0
v201,62.00,26.89,264.00,326.00,E1_0
v202,60.00,25.33,267.00,327.00,E1_0
v226,60.00,25.72,267.00,327.00,E5_0
v225,65.00,30.11,264.00,329.00,E5_0
v215,85.00,46.83,258.00,343.00,E3_0
v214,88.00,49.73,255.00,343.00,E3_0
v240,84.00,45.56,261.00,345.00,E7_0
v257,45.00,6.66,300.00,345.00,E3_0
v239,87.00,48.29,258.00,345.00,E7_0
v216,85.00,45.92,261.00,346.00,E3_0
v282,44.00,5.77,303.00,347.00,E7_0
v258,44.00,5.66,303.00,347.00,E3_0
v281,47.00,8.57,300.00,347.00,E7_0
v283,43.00,4.62,306.00,349.00,E7_0
v259,43.00,4.71,306.00,349.00,E3_0
v284,44.00,5.13,309.00,353.00,E7_0
v260,44.00,5.13,309.00,353.00,E3_0
v285,43.00,4.42,312.00,355.00,E7_0
v261,43.00,4.67,312.00,355.00,E3_0
v203,100.00,65.33,270.00,370.00,E1_0
v204,98.00,62.88,273.00,371.00,E1_0
v206,93.00,58.61,279.00,372.00,E1_0
v227,102.00,67.46,270.00,372.00,E5_0
v228,100.00,64.75,273.00,373.00,E5_0
v205,97.00,61.81,276.00,373.00,E1_0
v208,89.00,54.34,285.00,374.00,E1_0
v229,98.00,63.43,276.00,374.00,E5_0
v207,92.00,57.52,282.00,374.00,E1_0
v230,96.00,60.86,279.00,375.00,E5_0
v232,91.00,56.64,285.00,376.00,E5_0
v242,73.00,38.14,303.00,376.00,E1_0
v231,94.00,59.16,282.00,376.00,E5_0
v241,76.00,41.37,300.00,376.00,E1_0
v266,75.00,40.39,303.00,378.00,E5_0
v244,69.00,33.91,309.00,378.00,E1_0
v265,78.00,43.12,300.00,378.00,E5_0
v243,72.00,37.16,306.00,378.00,E1_0
v268,71.00,36.33,309.00,380.00,E5_0
v246,65.00,29.81,315.00,380.00,E1_0
v267,74.00,38.78,306.00,380.00,E5_0
v245,68.00,32.92,312.00,380.00,E1_0
v248,60.00,25.54,321.00,381.00,E1_0
v270,67.00,32.13,315.00,382.00,E5_0
v269,70.00,34.78,312.00,382.00,E5_0
v247,64.00,28.81,318.00,382.00,E1_0
v250,56.00,21.33,327.00,383.00,E1_0
v271,65.00,30.56,318.00,383.00,E5_0
v249,59.00,24.71,324.00,383.00,E1_0
v272,63.00,27.86,321.00,384.00,E5_0
v274,58.00,23.62,327.00,385.00,E5_0
v273,61.00,26.59,324.00,385.00,E5_0
v263,84.00,44.94,318.00,402.00,E3_0
v262,87.00,48.20,315.00,402.00,E3_0
v287,85.00,46.20,318.00,403.00,E7_0
v286,88.00,49.01,315.00,403.00,E7_0
v305,44.00,5.27,360.00,404.00,E3_0
v288,83.00,44.78,321.00,404.00,E7_0
v264,83.00,43.94,321.00,404.00,E3_0
v329,45.00,6.07,360.00,405.00,E7_0
v306,43.00,4.22,363.00,406.00,E3_0
v330,44.00,5.40,363.00,407.00,E7_0
v307,43.00,4.71,366.00,409.00,E3_0
v331,44.00,5.08,366.00,410.00,E7_0
v332,44.00,5.14,369.00,413.00,E7_0
v308,44.00,5.15,369.00,413.00,E3_0
v333,43.00,4.56,372.00,415.00,E7_0
v252,95.00,60.34,333.00,428.00,E1_0
v251,98.00,63.66,330.00,428.00,E1_0
v275,100.00,65.59,330.00,430.00,E5_0
v254,91.00,56.41,339.00,430.00,E1_0
v253,94.00,59.64,336.00,430.00,E1_0
v276,98.00,62.93,333.00,431.00,E5_0
v277,96.00,61.46,336.00,432.00,E5_0
v256,87.00,52.18,345.00,432.00,E1_0
v278,93.00,58.59,339.00,432.00,E5_0
v255,90.00,55.44,342.00,432.00,E1_0
v279,92.00,57.25,342.00,434.00,E5_0
v290,71.00,36.34,363.00,434.00,E1_0
v280,89.00,54.38,345.00,434.00,E5_0
v289,74.00,39.45,360.00,434.00,E1_0
v313,76.00,41.00,360.00,436.00,E5_0
v292,67.00,32.13,369.00,436.00,E1_0
v314,73.00,38.42,363.00,436.00,E5_0
v291,70.00,35.37,366.00,436.00,E1_0
v315,72.00,37.29,366.00,438.00,E5_0
v294,63.00,27.90,375.00,438.00,E1_0
v316,69.00,34.26,369.00,438.00,E5_0
v293,66.00,31.15,372.00,438.00,E1_0
v317,68.00,33.04,372.00,440.00,E5_0
v296,59.00,24.00,381.00,440.00,E1_0
v318,65.00,30.25,375.00,440.00,E5_0
v295,62.00,27.06,378.00,440.00,E1_0
v319,64.00,28.79,378.00,442.00,E5_0
v298,55.00,19.79,387.00,442.00,E1_0
v320,61.00,26.07,381.00,442.00,E5_0
v297,58.00,22.77,384.00,442.00,E1_0
v321,60.00,25.42,384.00,444.00,E5_0
v322,57.00,21.78,387.00,444.00,E5_0
v310,84.00,45.77,375.00,459.00,E3_0
v309,87.00,48.53,372.00,459.00,E3_0
v335,82.00,43.81,378.00,460.00,E7_0
v312,80.00,41.54,381.00,461.00,E3_0
v334,86.00,47.08,375.00,461.00,E7_0
v311,83.00,44.29,378.00,461.00,E3_0
v377,43.00,4.24,420.00,463.00,E7_0
v336,82.00,43.31,381.00,463.00,E7_0
v353,44.00,5.61,420.00,464.00,E3_0
v378,43.00,4.07,423.00,466.00,E7_0
v354,43.00,4.84,423.00,466.00,E3_0
v379,43.00,4.66,426.00,469.00,E7_0
v355,44.00,5.20,426.00,470.00,E3_0
v380,43.00,4.57,429.00,472.00,E7_0
v356,44.00,5.14,429.00,473.00,E3_0
v299,96.00,61.30,390.00,486.00,E1_0
v300,94.00,58.92,393.00,487.00,E1_0
v323,97.00,62.68,390.00,487.00,E5_0
v324,95.00,60.78,393.00,488.00,E5_0
v301,92.00,57.22,396.00,488.00,E1_0
v302,90.00,55.09,399.00,489.00,E1_0
v326,91.00,56.50,399.00,490.00,E5_0
v325,94.00,59.40,396.00,490.00,E5_0
v303,88.00,53.28,402.00,490.00,E1_0
v304,86.00,51.02,405.00,491.00,E1_0
v338,69.00,34.68,423.00,492.00,E1_0
v327,90.00,55.14,402.00,492.00,E5_0
v337,72.00,37.47,420.00,492.00,E1_0
v328,88.00,53.15,405.00,493.00,E5_0
v361,74.00,38.97,420.00,494.00,E5_0
v339,68.00,33.56,426.00,494.00,E1_0
v362,72.00,36.93,423.00,495.00,E5_0
v340,66.00,30.84,429.00,495.00,E1_0
v364,67.00,32.66,429.00,496.00,E5_0
v363,70.00,35.09,426.00,496.00,E5_0
v341,64.00,29.42,432.00,496.00,E1_0
v342,62.00,26.95,435.00,497.00,E1_0
v366,63.00,28.51,435.00,498.00,E5_0
v365,66.00,30.97,432.00,498.00,E5_0
v343,60.00,25.34,438.00,498.00,E1_0
v344,58.00,22.93,441.00,499.00,E1_0
v368,59.00,24.37,441.00,500.00,E5_0
v367,62.00,26.95,438.00,500.00,E5_0
v357,85.00,46.24,432.00,517.00,E3_0
v358,83.00,44.47,435.00,518.00,E3_0
v382,84.00,44.95,435.00,519.00,E7_0
v381,87.00,48.19,432.00,519.00,E7_0
v359,81.00,42.56,438.00,519.00,E3_0
v360,79.00,40.22,441.00,520.00,E3_0
v384,80.00,40.94,441.00,521.00,E7_0
v383,83.00,44.64,438.00,521.00,E7_0
v401,43.00,4.64,480.00,523.00,E3_0
v425,44.00,5.26,480.00,524.00,E7_0
v402,43.00,4.61,483.00,526.00,E3_0
v426,44.00,5.01,483.00,527.00,E7_0
v427,43.00,4.78,486.00,529.00,E7_0
v403,43.00,4.80,486.00,529.00,E3_0
v346,99.00,63.94,446.00,545.00,E1_0
v345,102.00,66.75,443.00,545.00,E1_0
v370,99.00,64.60,447.00,546.00,E5_0
v369,102.00,67.57,444.00,546.00,E5_0
v347,96.00,61.65,450.00,546.00,E1_0
v348,94.00,58.81,453.00,547.00,E1_0
v350,89.00,54.48,459.00,548.00,E1_0
v371,98.00,63.48,450.00,548.00,E5_0
v349,92.00,57.38,456.00,548.00,E1_0
v372,96.00,61.07,453.00,549.00,E5_0
v352,85.00,50.67,465.00,550.00,E1_0
v373,94.00,59.31,456.00,550.00,E5_0
v351,88.00,53.39,462.00,550.00,E1_0
v374,92.00,57.01,459.00,551.00,E5_0
v386,69.00,34.65,483.00,552.00,E1_0
v375,90.00,55.01,462.00,552.00,E5_0
v385,72.00,37.35,480.00,552.00,E1_0
v376,88.00,53.05,465.00,553.00,E5_0
v388,65.00,30.49,489.00,554.00,E1_0
v409,74.00,38.86,480.00,554.00,E5_0
v387,68.00,33.19,486.00,554.00,E1_0
v410,72.00,36.91,483.00,555.00,E5_0
v411,69.00,34.66,486.00,555.00,E5_0
v412,67.00,32.59,489.00,556.00,E5_0
v390,61.00,26.45,495.00,556.00,E1_0
v389,64.00,29.18,492.00,556.00,E1_0
v413,65.00,30.53,492.00,557.00,E5_0
v414,63.00,28.45,495.00,558.00,E5_0
v405,84.00,45.44,492.00,576.00,E3_0
v404,87.00,48.20,489.00,576.00,E3_0
v429,85.00,46.44,492.00,577.00,E7_0
v428,88.00,49.32,489.00,577.00,E7_0
v407,80.00,41.58,498.00,578.00,E3_0
v406,83.00,43.94,495.00,578.00,E3_0
v431,81.00,42.32,498.00,579.00,E7_0
v430,84.00,45.77,495.00,579.00,E7_0
v408,78.00,39.61,501.00,579.00,E3_0
v432,79.00,40.06,502.00,581.00,E7_0
v473,44.00,4.98,540.00,584.00,E7_0
v449,44.00,4.93,540.00,584.00,E3_0
v450,43.00,4.70,543.00,586.00,E3_0
v474,44.00,5.01,543.00,587.00,E7_0
v475,44.00,5.52,546.00,590.00,E7_0
v391,104.00,69.13,498.00,602.00,E1_0
v392,102.00,66.86,501.00,603.00,E1_0
v416,103.00,68.34,501.00,604.00,E5_0
v415,106.00,71.07,498.00,604.00,E5_0
v393,100.00,65.25,504.00,604.00,E1_0
v394,98.00,63.06,507.00,605.00,E1_0
v418,99.00,64.17,507.00,606.00,E5_0
v417,102.00,67.20,504.00,606.00,E5_0
v395,96.00,61.08,510.00,606.00,E1_0
v396,94.00,58.92,513.00,607.00,E1_0
v398,89.00,54.66,519.00,608.00,E1_0
v420,95.00,60.30,513.00,608.00,E5_0
v419,98.00,63.10,510.00,608.00,E5_0
v397,92.00,57.50,516.00,608.00,E1_0
v400,85.00,50.48,525.00,610.00,E1_0
v422,91.00,56.04,519.00,610.00,E5_0
v421,94.00,58.91,516.00,610.00,E5_0
v399,88.00,53.48,522.00,610.00,E1_0
v434,69.00,34.32,543.00,612.00,E1_0
v424,87.00,51.94,525.00,612.00,E5_0
v423,90.00,54.79,522.00,612.00,E5_0
v433,72.00,37.44,540.00,612.00,E1_0
v458,70.00,35.70,543.00,613.00,E5_0
v457,73.00,38.80,540.00,613.00,E5_0
v436,65.00,30.02,549.00,614.00,E1_0
v435,68.00,33.11,546.00,614.00,E1_0
v460,66.00,31.46,549.00,615.00,E5_0
v459,69.00,34.53,546.00,615.00,E5_0
v451,87.00,48.69,546.00,633.00,E3_0
v452,85.00,45.90,549.00,634.00,E3_0
v477,83.00,43.89,552.00,635.00,E7_0
v476,86.00,47.22,549.00,635.00,E7_0
v453,83.00,44.66,552.00,635.00,E3_0
v479,78.00,39.77,558.00,636.00,E7_0
v454,81.00,42.11,555.00,636.00,E3_0
v478,82.00,43.34,555.00,637.00,E7_0
v455,79.00,40.63,558.00,637.00,E3_0
v456,77.00,37.97,561.00,638.00,E3_0
v480,78.00,39.13,561.00,639.00,E7_0
v497,43.00,4.61,600.00,643.00,E3_0
v521,44.00,4.99,600.00,644.00,E7_0
v522,43.00,4.63,603.00,646.00,E7_0
v498,44.00,5.60,603.00,647.00,E3_0
v437,109.00,74.07,552.00,661.00,E1_0
v438,106.00,70.91,555.00,661.00,E1_0
v440,101.00,66.63,561.00,662.00,E1_0
v462,107.00,72.24,555.00,662.00,E5_0
v461,110.00,75.37,552.00,662.00,E5_0
v439,105.00,69.96,558.00,663.00,E1_0
v442,97.00,62.37,567.00,664.00,E1_0
v464,103.00,68.16,561.00,664.00,E5_0
v463,106.00,71.06,558.00,664.00,E5_0
v441,101.00,65.77,564.00,665.00,E1_0
v443,96.00,61.68,570.00,666.00,E1_0
v444,93.00,58.36,573.00,666.00,E1_0
v466,99.00,63.93,567.00,666.00,E5_0
v465,102.00,67.14,564.00,666.00,E5_0
v445,92.00,57.44,576.00,668.00,E1_0
v468,95.00,59.92,573.00,668.00,E5_0
v467,98.00,62.92,570.00,668.00,E5_0
v446,90.00,54.95,579.00,669.00,E1_0
v470,90.00,55.70,579.00,669.00,E5_0
v469,93.00,58.56,576.00,669.00,E5_0
v448,85.00,50.31,585.00,670.00,E1_0
v447,88.00,53.59,582.00,670.00,E1_0
v472,86.00,51.47,585.00,671.00,E5_0
v471,89.00,54.34,582.00,671.00,E5_0
v481,72.00,37.04,600.00,672.00,E1_0
v482,70.00,35.11,603.00,673.00,E1_0
v506,70.00,35.27,603.00,673.00,E5_0
v505,73.00,38.15,600.00,673.00,E5_0
v499,85.00,46.62,606.00,691.00,E3_0
v500,83.00,44.57,609.00,692.00,E3_0
v524,84.00,45.22,609.00,693.00,E7_0
v523,87.00,48.05,606.00,693.00,E7_0
v501,81.00,42.83,612.00,693.00,E3_0
v502,79.00,40.47,615.00,694.00,E3_0
v526,80.00,41.33,615.00,695.00,E7_0
v525,83.00,44.16,612.00,695.00,E7_0
v503,77.00,38.61,618.00,695.00,E3_0
v504,74.00,35.28,622.00,696.00,E3_0
v528,76.00,37.20,621.00,697.00,E7_0
v527,79.00,39.94,618.00,697.00,E7_0
v569,43.00,4.63,660.00,703.00,E7_0
v545,43.00,4.52,660.00,703.00,E3_0
v484,110.00,74.82,609.00,719.00,E1_0
v483,113.00,77.88,606.00,719.00,E1_0
v508,111.00,76.45,609.00,720.00,E5_0
v507,114.00,79.31,606.00,720.00,E5_0
v486,106.00,71.20,615.00,721.00,E1_0
v485,109.00,74.36,612.00,721.00,E1_0
v510,107.00,72.53,615.00,722.00,E5_0
v509,110.00,75.47,612.00,722.00,E5_0
v488,102.00,66.92,621.00,723.00,E1_0
v487,105.00,70.13,618.00,723.00,E1_0
v512,103.00,68.38,621.00,724.00,E5_0
v511,106.00,71.26,618.00,724.00,E5_0
v490,98.00,62.73,627.00,725.00,E1_0
v489,101.00,66.02,624.00,725.00,E1_0
v492,93.00,58.63,633.00,726.00,E1_0
v514,99.00,64.10,627.00,726.00,E5_0
v513,102.00,67.09,624.00,726.00,E5_0
v491,97.00,61.74,630.00,727.00,E1_0
v494,89.00,54.45,639.00,728.00,E1_0
v516,95.00,59.80,633.00,728.00,E5_0
v515,98.00,62.97,630.00,728.00,E5_0
v493,92.00,57.63,636.00,728.00,E1_0
v496,85.00,50.16,645.00,730.00,E1_0
v518,91.00,55.78,639.00,730.00,E5_0
v517,94.00,59.20,636.00,730.00,E5_0
v520,86.00,51.43,645.00,731.00,E5_0
v495,89.00,53.92,642.00,731.00,E1_0
v519,90.00,55.26,642.00,732.00,E5_0
v546,86.00,47.46,663.00,749.00,E3_0
v547,84.00,44.93,666.00,750.00,E3_0
v549,79.00,40.61,672.00,751.00,E3_0
v571,85.00,46.14,666.00,751.00,E7_0
v570,88.00,49.51,663.00,751.00,E7_0
v548,82.00,43.82,669.00,751.00,E3_0
v573,80.00,41.80,672.00,752.00,E7_0
v551,75.00,36.56,678.00,753.00,E3_0
v572,84.00,45.28,669.00,753.00,E7_0
v550,78.00,39.80,675.00,753.00,E3_0
v575,76.00,37.56,678.00,754.00,E7_0
v552,74.00,35.34,681.00,755.00,E3_0
v574,80.00,41.28,675.00,755.00,E7_0
v576,75.00,36.81,681.00,756.00,E7_0
v617,44.00,5.24,720.00,764.00,E7_0
v530,113.00,78.58,663.00,776.00,E1_0
v529,116.00,81.29,660.00,776.00,E1_0
v532,109.00,74.33,669.00,778.00,E1_0
v554,115.00,80.42,663.00,778.00,E5_0
v553,118.00,83.62,660.00,778.00,E5_0
v531,112.00,77.11,666.00,778.00,E1_0
v534,105.00,70.32,675.00,780.00,E1_0
v556,111.00,76.20,669.00,780.00,E5_0
v555,114.00,79.39,666.00,780.00,E5_0
v533,108.00,72.93,672.00,780.00,E1_0
v535,103.00,68.64,678.00,781.00,E1_0
v536,101.00,66.14,681.00,782.00,E1_0
v558,107.00,72.21,675.00,782.00,E5_0
v557,111.00,75.88,672.00,783.00,E5_0
v537,99.00,64.68,684.00,783.00,E1_0
v538,97.00,61.98,687.00,784.00,E1_0
v560,103.00,67.99,681.00,784.00,E5_0
v559,106.00,71.64,678.00,784.00,E5_0
v540,92.00,57.68,693.00,785.00,E1_0
v539,95.00,60.39,690.00,785.00,E1_0
v562,99.00,63.80,687.00,786.00,E5_0
v561,102.00,67.45,684.00,786.00,E5_0
v542,88.00,53.45,699.00,787.00,E1_0
v564,94.00,59.53,693.00,787.00,E5_0
v541,91.00,56.13,696.00,787.00,E1_0
v563,98.00,63.15,690.00,788.00,E5_0
v566,90.00,55.35,699.00,789.00,E5_0
v544,84.00,48.90,705.00,789.00,E1_0
v543,88.00,53.12,702.00,790.00,E1_0
v565,94.00,59.02,696.00,790.00,E5_0
v567,90.00,55.05,702.00,792.00,E5_0
v593,88.00,49.43,720.00,808.00,E3_0
v594,86.00,47.01,723.00,809.00,E3_0
v618,86.00,47.64,723.00,809.00,E7_0
v619,84.00,45.50,726.00,810.00,E7_0
